"year","chron","ppt.jja","tmax.paug","pdsi.poct","tmax.lsum","stream.yel","swe.yel"
1195,0.831,,,,0.39,208.3466086,48.323
1196,1.021,,,,0.24,103.940891,47.109
1197,0.757,,,,-0.99,176.1109807,50.321
1198,1.008,,,,0.28,83.90472832,50.276
1199,0.794,,,,-0.88,83.32713224,41.103
1200,1.127,,,,-1.07,116.8924431,76.18
1201,1.237,,,,-0.21,107.0992515,28.029
1202,1.132,,,,-0.73,153.386252,50.615
1203,1.14,,,,-1.18,68.83137346,51.19
1204,1.092,,,,0.06,171.7063813,53.447
1205,0.738,,,,-0.88,160.9853794,54.215
1206,0.947,,,,-0.8,190.4523937,57.659
1207,1.05,,,,0.24,101.8090618,42.351
1208,1.025,,,,-0.09,101.1082132,60.716
1209,1.071,,,,0.13,129.3559577,57.62
1210,1.263,,,,0.09,68.67306569,44.355
1211,1.194,,,,0.8,113.7067995,12.838
1212,1.063,,,,-0.21,88.26457523,56.447
1213,1.02,,,,1.89,63.21009391,35.201
1214,1.153,,,,-0.06,121.0002968,67.047
1215,0.958,,,,1.25,92.4243565,63.024
1216,1.265,,,,-0.73,159.142595,51.214
1217,1.007,,,,0.88,69.6284032,63.843
1218,0.968,,,,0.02,77.76540453,52.391
1219,1.105,,,,1.14,131.4578229,50.097
1220,0.941,,,,0.13,80.86981238,57.067
1221,1.198,,,,0.21,134.8299693,39.272
1222,0.9,,,,1.07,79.21117135,48.81
1223,0.477,,,,0.69,56.20648616,97.782
1224,1.052,,,,0.54,114.4949774,19.575
1225,0.917,,,,-0.21,156.5980809,57.521
1226,0.732,,,,-1.74,116.8924431,53.833
1227,1.239,,,,-0.54,122.4014142,46.356
1228,1.293,,,,-0.36,121.8390308,37.861
1229,1.233,,,,0.21,64.23717531,73.805
1230,1.229,,,,-0.8,63.35580822,49.098
1231,1.289,,,,0.84,88.46804609,36.482
1232,1.064,,,,-1.4,99.95083705,55.533
1233,0.882,,,,-1.63,94.35967481,61.031
1234,1.089,,,,0.24,69.78891324,69.493
1235,0.652,,,,-0.36,103.225367,50.788
1236,0.781,,,,0.09,115.8207667,43.961
1237,1.323,,,,1.22,67.10987587,27.224
1238,0.802,,,,-0.02,170.1321677,43.538
1239,1.092,,,,0.17,147.158867,27.255
1240,0.996,,,,-1.07,127.8752323,56.162
1241,0.938,,,,0.65,168.5723866,38.324
1242,1.352,,,,0.88,113.1843642,31.276
1243,0.965,,,,-0.13,66.03686316,54.918
1244,0.714,,,,-0.17,66.49460883,79.428
1245,1.152,,,,0.8,70.11104423,46.515
1246,0.86,,,,0.28,99.95083705,58.291
1247,0.662,,,,-0.28,123.2498603,57.79
1248,0.764,,,,-0.69,63.9420323,58.513
1249,0.821,,,,-0.43,67.57505931,52.132
1250,0.902,,,,0.47,81.80624067,31.687
1251,0.625,,,,-0.73,52.57586608,70.979
1252,1.097,,,,0.17,69.78891324,35.487
1253,1.246,,,,-0.43,89.6987592,45.66
1254,0.737,,,,0.17,86.4542675,63.569
1255,0.905,,,,0.28,107.841628,50.343
1256,1.032,,,,0.17,94.57719633,44.251
1257,1.299,,,,0.24,109.8465536,34.194
1258,1.177,,,,0.73,69.14908464,58.796
1259,1.491,,,,-1.33,109.8465536,37.983
1260,1.283,,,,-0.8,111.8887535,38.071
1261,1.001,,,,1.33,77.05244702,68.921
1262,0.883,,,,0.73,81.80624067,59.829
1263,1.421,,,,0.95,50.79096164,39.078
1264,0.922,,,,0.62,78.12435333,65.721
1265,0.515,,,,-0.36,139.5681865,70.77
1266,1.093,,,,-0.24,153.386252,43.53
1267,1.022,,,,-0.13,115.8207667,53.661
1268,1.055,,,,0.21,95.67234865,44.75
1269,0.829,,,,-1.78,90.11278986,59.007
1270,0.864,,,,-0.32,70.75977374,54.056
1271,1.017,,,,0.02,118.5185789,41.238
1272,0.849,,,,-0.84,93.06501154,64.744
1273,0.597,,,,-0.92,102.9879552,63.617
1274,0.733,,,,-0.02,62.91966991,62.345
1275,0.686,,,,-0.77,65.88498259,60.07
1276,1.134,,,,-0.36,78.12435333,45.229
1277,0.874,,,,-1.7,147.4981032,59.263
1278,0.744,,,,0.32,68.04346724,74.137
1279,1.09,,,,0.95,62.1994344,58.905
1280,0.802,,,,-0.17,101.5749075,67.327
1281,0.945,,,,-1.55,119.3401105,55.319
1282,1.208,,,,0.43,195.7881648,28.201
1283,0.885,,,,-0.06,98.80670928,54.164
1284,0.992,,,,-2.64,153.0334734,51.799
1285,1.072,,,,-0.32,91.15624679,56.727
1286,1.039,,,,-0.99,153.0334734,47.275
1287,1.064,,,,-2.83,128.1700151,63.962
1288,0.98,,,,0.02,65.43143356,60.769
1289,0.84,,,,-1.59,111.8887535,53.886
1290,0.833,,,,-0.24,150.5866374,54.32
1291,1.098,,,,-0.17,124.9644366,60.923
1292,0.692,,,,-0.09,102.2789911,62.306
1293,1.122,,,,-1.4,189.5773445,45.44
1294,0.963,,,,-2.15,98.80670928,59.111
1295,1.472,,,,-0.09,85.46463369,24.243
1296,0.852,,,,0.77,75.47210021,74.32
1297,1.195,,,,-0.09,100.4121892,46.172
1298,1.421,,,,-1.44,161.7284542,38.743
1299,1.395,,,,1.59,134.8299693,28.661
1300,1.175,,,,0.21,97.90084392,63.537
1301,0.783,,,,0.06,62.48653394,54.391
1302,1.137,,,,-1.03,94.57719633,43.88
1303,0.824,,,,0.73,112.4052085,51.064
1304,0.582,,,,0.8,54.17344268,85.718
1305,0.823,,,,0.77,113.1843642,56.455
1306,0.901,,,,1.37,51.61624838,48.51
1307,0.721,,,,0.02,52.09384764,70.644
1308,0.903,,,,0.99,118.5185789,24.285
1309,1.054,,,,0.17,77.05244702,44.084
1310,0.932,,,,0.02,118.2459938,48.064
1311,1.22,,,,0.13,104.1804995,39.257
1312,0.817,,,,0.21,142.8191472,57.524
1313,1.135,,,,0.95,93.71010738,23.507
1314,1.236,,,,1.63,142.1629528,40.411
1315,1.104,,,,0.43,154.4494747,62.195
1316,1.054,,,,1.48,90.94659324,57.732
1317,0.678,,,,0.54,35.79203863,76.572
1318,0.527,,,,0.21,111.1185167,56.135
1319,1.121,,,,0.99,76.87523131,51.577
1320,0.959,,,,1.25,83.32713224,41.024
1321,0.919,,,,-2.71,94.79521928,57.637
1322,1.05,,,,-0.02,107.5935992,22.897
1323,0.652,,,,-0.06,103.940891,70.682
1324,0.657,,,,-0.28,57.38342096,51.893
1325,1.145,,,,1.07,126.1207183,33.18
1326,0.938,,,,-0.39,195.3378645,43.85
1327,0.869,,,,0.39,89.28663084,64.859
1328,1.121,,,,0.88,91.57700491,43.657
1329,0.839,,,,-3.31,101.3412917,41.475
1330,0.837,,,,-2.53,139.2471886,73.567
1331,1.143,,,,-1.67,189.5773445,30.714
1332,1.337,,,,-0.54,165.1149645,53.894
1333,1.418,,,,-1.1,145.1397717,24.234
1334,1.227,,,,-0.62,81.24309047,64.525
1335,1.205,,,,-1.22,121.8390308,46.133
1336,1.073,,,,0.8,77.23007125,75.193
1337,0.7,,,,0.88,60.50432713,61.92
1338,1.028,,,,-0.24,146.820411,52.141
1339,0.965,,,,0.43,118.7917925,40.531
1340,1.035,,,,1.48,104.1804995,54.567
1341,0.948,,,,-1.4,119.8909594,49.879
1342,0.849,,,,-1.18,92.4243565,57.683
1343,1.175,,,,-0.28,124.9644366,40.184
1344,0.949,,,,0.69,73.75414546,77.486
1345,1.037,,,,-0.66,145.4743534,40.532
1346,0.934,,,,-0.28,106.1173596,50.79
1347,1.164,,,,-1.55,132.9800327,50.242
1348,0.787,,,,0.17,76.69842318,74.722
1349,0.862,,,,-1.52,115.5543863,54.505
1350,1.136,,,,-0.06,72.4079806,42.421
1351,1.202,,,,-1.48,110.3535822,54.523
1352,0.657,,,,0.88,81.43037514,51.307
1353,1.066,,,,-0.51,85.07195936,56.204
1354,0.661,,,,-0.02,89.9055362,61.027
1355,0.842,,,,0.43,104.4206604,53.886
1356,0.838,,,,0.84,133.9018063,44.109
1357,0.915,,,,-0.43,129.3559577,69.891
1358,0.831,,,,0.73,119.8909594,52.436
1359,0.946,,,,-2.23,83.90472832,54.258
1360,1.099,,,,0.84,71.90952757,60.101
1361,1.252,,,,-0.06,51.37909326,51.548
1362,1.054,,,,0.32,130.2526103,58.851
1363,0.862,,,,-0.95,79.76023695,61.662
1364,0.924,,,,0.24,123.5339805,59.811
1365,0.924,,,,0.69,125.5412462,58.367
1366,0.766,,,,-1.96,99.26278033,65.761
1367,0.812,,,,0.28,131.1554783,55.438
1368,1,,,,0.32,98.12652868,32.591
1369,0.993,,,,-2.75,56.72655837,64.291
1370,1.031,,,,0.28,107.5935992,34.504
1371,0.878,,,,-0.36,113.4452811,54.079
1372,0.938,,,,0.62,92.85096795,54.396
1373,1.189,,,,-0.8,83.13548515,52.101
1374,0.996,,,,-0.99,97.45103041,49.559
1375,1.371,,,,0.28,70.27266688,54.262
1376,1.069,,,,-3.24,101.5749075,66.365
1377,1.109,,,,0.09,116.8924431,46.182
1378,0.994,,,,0.09,120.7220038,58.224
1379,0.974,,,,1.03,89.08127729,51.402
1380,0.862,,,,0.51,63.50185844,75.761
1381,0.961,,,,1.07,79.21117135,54.383
1382,0.754,,,,-0.24,74.43658417,72.944
1383,0.821,,,,-2.26,173.2951609,64.493
1384,0.964,,,,-0.21,205.487986,43.922
1385,0.973,,,,0.09,155.5200673,46.71
1386,0.937,,,,-0.13,146.820411,48.164
1387,1.037,,,,0.13,89.6987592,57.206
1388,0.921,,,,0.39,102.2789911,65.084
1389,0.795,,,,-1.89,108.8394743,47.984
1390,1.116,,,,-0.02,145.1397717,58.255
1391,1.216,,,,-0.21,98.35273369,23.284
1392,0.856,,,,0.47,120.7220038,63.423
1393,0.758,,,,-0.84,82.18384112,61.866
1394,1.33,,,,-0.02,147.158867,34.28
1395,1.072,,,,-0.95,117.161908,49.119
1396,0.921,,,,0.17,75.1253374,48.186
1397,1.256,,,,0.54,79.94410329,44.637
1398,0.766,,,,0.24,67.88697161,79.205
1399,1.013,,,,0.28,86.65356517,72.835
1400,1.006,,,,1.33,73.58451564,41.103
1401,0.757,,,,-0.21,83.13548515,74.642
1402,1.275,,,,0.8,150.2402977,39.821
1403,1.232,,,,-2.53,111.1185167,49.401
1404,1.199,,,,0.8,137.9705627,34.156
1405,0.675,,,,-0.39,179.3851283,87.275
1406,1.097,,,,0.73,111.3746714,32.815
1407,0.759,,,,1.7,84.87629929,77.478
1408,0.727,,,,-0.77,104.6613749,63.305
1409,1.048,,,,0.39,96.78018223,48.203
1410,1.106,,,,0.32,71.08638601,48.925
1411,1.126,,,,-0.62,145.4743534,43.069
1412,1.15,,,,0.65,97.90084392,48.062
1413,0.852,,,,0.24,66.03686316,54.421
1414,1.093,,,,-0.06,128.761621,58.958
1415,0.903,,,,-0.47,102.7510895,55.965
1416,1.111,,,,0.95,107.0992515,52.55
1417,0.663,,,,0.8,83.32713224,81.082
1418,1.17,,,,-0.54,130.8538291,30.522
1419,0.804,,,,0.43,147.158867,59.852
1420,1.111,,,,-4.58,209.7907983,49.552
1421,0.928,,,,-0.21,145.4743534,52.167
1422,1.132,,,,-0.39,86.25542821,41.121
1423,0.862,,,,0.43,77.40810495,78.152
1424,1.277,,,,0.13,165.8771006,34.89
1425,1.13,,,,-0.88,137.02078,43.409
1426,0.785,,,,0.17,72.24144687,56.774
1427,1.129,,,,0.51,93.71010738,55.398
1428,1.328,,,,0.17,86.25542821,43.966
1429,0.933,,,,-1.14,97.90084392,92.038
1430,0.915,,,,0.54,84.29201495,43.458
1431,1.402,,,,-0.43,119.0656358,38.712
1432,1.15,,,,0.88,79.39377195,46.97
1433,1.226,,,,0.13,73.92416633,60.454
1434,0.934,,,,-0.39,57.38342096,64.251
1435,1.228,,,,-0.58,64.38525729,66.477
1436,1.084,,,,0.21,74.78016783,59.439
1437,0.602,,,,-0.02,51.61624838,84.464
1438,0.594,,,,-3.8,79.94410329,68.349
1439,0.939,,,,0.8,86.85332227,50.439
1440,0.824,,,,-0.69,124.3902772,48.967
1441,0.936,,,,-1.96,119.3401105,63.985
1442,0.827,,,,0.62,94.79521928,60
1443,0.951,,,,-2.08,148.8628864,50.483
1444,0.822,,,,1.07,72.57489823,65.764
1445,0.977,,,,-0.88,122.1198987,49.304
1446,0.861,,,,1.18,86.4542675,58.535
1447,0.691,,,,-0.92,94.79521928,69.222
1448,0.788,,,,0.43,89.28663084,65.625
1449,1.043,,,,-2.38,93.27954855,55.995
1450,1.03,,,,-1.03,90.73742188,63.669
1451,0.975,,,,-0.39,103.225367,45.084
1452,0.898,,,,0.02,158.7765772,61.681
1453,1.118,,,,-1.55,106.1173596,28.608
1454,0.952,,,,-0.92,105.3868529,53.882
1455,1.114,,,,-1.52,119.8909594,36.322
1456,1.154,,,,-3.16,77.23007125,49.743
1457,1.289,,,,-2.68,151.6304541,47.583
1458,0.845,,,,0.84,63.21009391,59.363
1459,0.901,,,,-0.43,73.58451564,50.541
1460,1.5,,,,1.1,58.85541625,76.051
1461,0.758,,,,-0.88,70.43466211,67.112
1462,0.894,,,,-0.51,161.7284542,54.105
1463,0.81,,,,-2.41,178.1502497,53.072
1464,0.817,,,,-0.69,145.4743534,59.496
1465,0.959,,,,-2.38,124.6770264,48.084
1466,0.711,,,,-0.99,104.4206604,76.64
1467,0.976,,,,0.58,135.1407844,45.814
1468,0.883,,,,-0.28,89.28663084,63.045
1469,1.266,,,,0.95,79.76023695,54.323
1470,0.834,,,,-0.62,79.5767935,57.085
1471,1.077,,,,0.69,82.18384112,70.132
1472,0.963,,,,-0.69,111.8887535,53.132
1473,1.323,,,,1.52,122.9663934,37.159
1474,0.623,,,,0.88,58.99109199,79.249
1475,0.726,,,,1.66,37.65186003,82.229
1476,1.19,,,,0.62,76.17043495,34.953
1477,0.74,,,,0.58,127.2876989,57.228
1478,1.063,,,,0.47,156.2379153,36.305
1479,0.778,,,,0.47,78.30444857,52.284
1480,0.957,,,,1.14,171.7063813,44.912
1481,0.69,,,,-0.47,121.0002968,52.439
1482,0.791,,,,0.47,100.8756708,64.597
1483,0.98,,,,-1.1,82.94427884,76.725
1484,1.175,,,,-0.88,227.9220989,34.722
1485,1.235,,,,-0.09,87.45536074,42.124
1486,1.02,,,,-0.21,165.8771006,41.987
1487,1.089,,,,-0.02,142.8191472,58.996
1488,0.835,,,,0.51,99.72095651,65.128
1489,1.013,,,,1.4,105.3868529,56.232
1490,0.867,,,,-0.73,137.02078,64.772
1491,1.189,,,,0.65,119.6152178,51.012
1492,0.944,,,,1.55,78.12435333,46.924
1493,0.748,,,,0.28,90.3205213,62.987
1494,0.969,,,,-0.09,112.1466837,60.659
1495,0.906,,,,0.43,74.26538478,71.51
1496,0.974,,,,-0.06,90.5287316,45.734
1497,0.923,,,,0.43,97.22689926,56.727
1498,0.862,,,,-0.17,118.7917925,60.716
1499,0.862,,,,0.17,59.2633825,50.091
1500,1.018,,,,0.02,67.73083591,58.677
1501,0.897,,,,1.1,63.50185844,38.29
1502,0.822,,,,0.73,115.2886186,55.213
1503,1.054,,,,0.43,87.65696617,43.12
1504,0.911,,,,1.4,147.4981032,45.215
1505,0.619,,,,0.32,54.92707034,71.887
1506,1.268,,,,1.03,63.35580822,21.451
1507,0.747,,,,0.39,143.1483793,53.432
1508,1.131,,,,1.4,131.7608645,44.622
1509,1.021,,,,-0.32,155.5200673,34.227
1510,1.262,,,,1.14,81.99482353,37.446
1511,0.97,,,,1.52,75.1253374,55.913
1512,0.924,,,,1.18,101.8090618,64.663
1513,1.009,,,,1.44,50.67414567,51.731
1514,1.216,,,,-0.54,139.2471886,54.459
1515,0.859,,,,1.1,70.75977374,48.297
1516,1.272,,,,-0.06,82.37329444,30.482
1517,1.148,,,,0.43,99.26278033,34.915
1518,0.919,,,,0.65,54.17344268,64.878
1519,0.858,,,,0.28,121.0002968,54.814
1520,0.956,,,,0.88,52.69706597,45.489
1521,1.323,,,,0.58,115.0234622,21.824
1522,0.845,,,,0.32,117.4319941,66.154
1523,0.957,,,,1.18,160.6151233,44.144
1524,0.874,,,,-1.03,199.8878679,57.782
1525,1.298,,,,1.55,201.2734244,31.917
1526,0.961,,,,0.24,116.6235979,53.909
1527,1.103,,,,1.29,93.92613149,37.349
1528,1.113,,,,0.54,93.27954855,58.608
1529,1.293,,,,0.88,48.5049918,50.56
1530,0.782,,,,1.25,94.35967481,51.249
1531,1.202,,,,1.33,105.8732965,41.805
1532,0.69,,,,1.22,40.81186445,61.036
1533,0.477,,,,0.77,55.3078066,74.603
1534,0.705,,,,1.4,67.41964098,61.008
1535,0.971,,,,0.58,107.841628,29.049
1536,0.946,,,,-1.22,163.6011814,63.884
1537,0.919,,,,-1.89,160.2457188,65.8
1538,0.837,,,,-0.54,136.3912267,84.237
1539,1.121,,,,-0.58,130.2526103,52.983
1540,0.795,,,,-0.39,74.43658417,55.616
1541,0.846,,,,0.39,85.46463369,66.048
1542,0.821,,,,0.47,84.0981487,63.572
1543,0.906,,,,1.14,49.40676693,66.244
1544,0.888,,,,0.17,95.67234865,58.728
1545,1.158,,,,-0.17,65.88498259,35.753
1546,1.061,,,,-1.22,105.1444698,49.36
1547,0.943,,,,0.17,57.11976809,59.378
1548,1.187,,,,0.69,95.89289619,38.71
1549,0.993,,,,0.47,139.2471886,56.613
1550,1.135,,,,1.55,141.8359871,49.449
1551,0.879,,,,1.33,135.4523161,59.084
1552,1.013,,,,0.58,131.7608645,45.671
1553,1.139,,,,0.32,136.3912267,47.424
1554,1.102,,,,1.55,90.3205213,51.934
1555,1.276,,,,1.1,117.161908,40.341
1556,1.155,,,,0.28,116.3553711,52.87
1557,0.952,,,,-0.77,145.4743534,56.98
1558,1.519,,,,0.58,187.8392889,29.621
1559,1.107,,,,0.28,99.95083705,78.394
1560,1.214,,,,-0.54,117.9740355,42.282
1561,0.75,,,,2.04,116.8924431,64.459
1562,1.261,,,,1.48,108.3394024,43.976
1563,0.698,,,,0.99,85.85912051,65.886
1564,1.105,,,,0.77,200.348657,34.123
1565,0.883,,,,1.03,124.1041875,63.074
1566,0.928,,,,-0.28,128.761621,40.64
1567,0.956,,,,0.24,107.841628,54.906
1568,1.102,,,,0.8,102.7510895,40.789
1569,1.157,,,,1.7,95.01374483,60.544
1570,0.948,,,,1.1,90.5287316,39.88
1571,0.83,,,,1.63,93.06501154,61.208
1572,0.778,,,,0.95,82.94427884,52.762
1573,0.698,,,,1.33,115.2886186,45.8
1574,0.77,,,,0.09,72.07529615,53.761
1575,0.954,,,,0.39,89.49245778,49.506
1576,0.723,,,,0.62,77.76540453,52.194
1577,0.924,,,,-0.24,174.4963855,44.705
1578,0.936,,,,0.21,98.57946016,65.877
1579,0.935,,,,0.43,87.05353986,52.812
1580,0.833,,,,0.95,39.79114493,64.212
1581,0.773,,,,0.77,102.9879552,65.925
1582,1.017,,,,0.47,113.4452811,60.292
1583,1.172,,,,-0.02,116.0877611,30.395
1584,1.135,,,,0.8,56.20648616,38.004
1585,1.095,,,,-0.66,54.42349593,65.446
1586,1.319,,,,1.55,102.9879552,46.602
1587,0.921,,,,-0.88,97.00328359,71.814
1588,1.188,,,,0.69,86.65356517,32.484
1589,1.096,,,,0.54,112.9240474,50.473
1590,0.906,,,,1.52,73.58451564,60.902
1591,0.96,,,,0.95,86.65356517,52.622
1592,0.917,,,,1.14,65.28094544,47.811
1593,0.608,,,,1.03,66.03686316,62.876
1594,0.773,,,,0.58,101.3412917,67.538
1595,0.78,,,,0.02,71.25025706,47.091
1596,1.007,,,,-1.25,147.158867,59.464
1597,0.994,,,,0.21,123.8187558,32.403
1598,0.882,,,,1.48,57.91438322,45.229
1599,0.816,,,,0.06,119.3401105,63.337
1600,0.902,,,,0.54,49.74923828,45.364
1601,1.131,,,,-0.62,132.0646046,78.425
1602,1.04,,,,0.28,121.8390308,41.994
1603,0.89,,,,1.25,94.79521928,34.047
1604,0.877,,,,-0.66,132.0646046,73.946
1605,0.794,,,,1.74,111.3746714,50.781
1606,0.873,,,,0.62,114.2316462,65.212
1607,0.749,,,,1.44,67.26458011,54.488
1608,0.852,,,,0.47,107.3461407,45.625
1609,0.995,,,,-0.02,179.7986537,54.595
1610,1.045,,,,0.99,123.2498603,64.851
1611,1.103,,,,0.13,183.9867024,38.511
1612,0.763,,,,0.8,97.67567823,71.816
1613,1.061,,,,1.03,124.3902772,47.385
1614,0.704,,,,1.59,110.099776,52.888
1615,1.033,,,,0.54,138.2886177,62.307
1616,0.835,,,,0.77,144.8059595,49.868
1617,1.073,,,,0.95,208.8268971,33.37
1618,0.841,,,,0.99,90.94659324,75.525
1619,1.304,,,,1.22,120.1673366,6.563
1620,1.075,,,,1.03,84.87629929,48.693
1621,1.301,,,,-1.93,206.4364754,43.469
1622,1.42,,,,1.14,135.4523161,48.809
1623,1.013,,,,0.32,120.4443509,38.654
1624,1.336,,,,-0.32,158.4114012,64.066
1625,1.187,,,,0.58,163.6011814,54.903
1626,1.024,,,,0.28,57.25144276,68.593
1627,0.98,,,,0.21,63.21009391,84.474
1628,1.453,,,,0.02,145.4743534,44.472
1629,1.139,,,,-0.36,84.68108922,61.335
1630,0.889,,,,0.58,68.04346724,66.669
1631,1.226,,,,1.29,57.25144276,55.846
1632,0.511,,,,1.25,32.86899577,70.925
1633,1.098,,,,-0.09,217.1633015,38.082
1634,1.056,,,,1.25,105.3868529,40.198
1635,0.768,,,,1.18,68.99004616,56.969
1636,0.958,,,,0.51,92.21178638,32.193
1637,0.662,,,,-0.24,70.59703077,72.094
1638,0.956,,,,0.28,88.671986,37.027
1639,0.956,,,,0.95,65.58226859,51.246
1640,1.139,,,,0.24,165.8771006,47.342
1641,1.041,,,,-2.04,148.1789236,86.368
1642,1.062,,,,-0.58,122.6835786,57.801
1643,1.139,,,,-0.32,97.90084392,50.767
1644,0.919,,,,-0.66,83.32713224,54.149
1645,1.304,,,,0.84,55.691182,50.576
